N,Gaiola,Machos,Femeas,Crias,Total,Utilizacao,Observacao,Data
1,Gaiola-1,0,16,0,16,Engorda,Nenhuma,22_07_2021
2,Gaiola-2,7,0,0,7,Engorda,Nenhuma,22_07_2021
3,Gaiola-3,0,14,0,14,Engorda,Nenhuma,22_07_2021
4,Gaiola-4,3,0,0,3,Engorda,Nenhuma,22_07_2021
5,Gaiola-5,0,8,0,8,Engorda,Nenhuma,22_07_2021
6,Gaiola-6,0,3,0,3,Engorda,Nenhuma,22_07_2021
7,Gaiola-7,9,0,0,9,Engorda,Nenhuma,22_07_2021
8,Gaiola-8,3,0,0,3,Engorda,Nenhuma,22_07_2021
9,Gaiola-9,2,0,0,2,Engorda,Nenhuma,22_07_2021
10,Gaiola-10,0,1,7,8,Amamentacao,Nenhuma,22_07_2021
11,Gaiola-11,0,3,5,8,Amamentacao,Nenhuma,22_07_2021
12,Gaiola-12,0,5,0,5,Engorda,Nenhuma,22_07_2021
